"call","qso_date","time_on","band","comment","n3fjp_computername","contest_id","cont","country","dxcc","cqz","class","freq","n3fjp_initials","ituz","mode","n3fjp_modecontest","operator","tx_pwr","pfx","qsl_sent","qsl_rcvd","arrl_sect","station_callsign","n3fjp_spcnum","state","n3fjp_stationid","n3fjp_transmitterid",
"W2RDX","20240622","210031","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","3A","21.02979","TS","08","CW","CW","N7WI","100","W2","N","N","NNY","W7AVM","NNY","NY","N7JP-DX","0",
"K8BF","20240622","210157","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","4A","21.076802","DEA","08","FT8","DIG","KK7BSG","100","K8","N","N","OH","W7AVM","OH","OH","AF9W-Field","0",
"KY4KY","20240622","210546","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","04","2F","14.00882","WM","08","CW","CW","NB6M","100","KY4","N","N","KY","W7AVM","KY","KY","MINISTWO","0",
"AB6MV","20240622","211058","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","3A","14.01231","WM","06","CW","CW","NB6M","100","AB6","N","N","ORG","W7AVM","ORG","CA","MINISTWO","0",
"N3Y","20240622","211119","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","4A","21.33500","JP","08","SSB","PH","N7JP","100","N3","N","N","DE","W7AVM","DE","DE","N7JP-DX","0",
"KC7XE","20240622","211222","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","1B","21.076021","DEA","06","FT8","DIG","KK7BSG","100","KC7","N","N","UT","W7AVM","UT","UT","AF9W-Field","0",
"K5IMC","20240622","211329","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","04","1D","14.01508","WM","07","CW","CW","NB6M","100","K5","N","N","NTX","W7AVM","NTX","TX","MINISTWO","0",
"WA7NB","20240622","211436","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","1A","14.01628","WM","06","CW","CW","NB6M","100","WA7","N","N","AZ","W7AVM","AZ","AZ","MINISTWO","0",
"K0AE","20240622","211525","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","04","1D","14.01868","WM","07","CW","CW","NB6M","100","K0","N","N","CO","W7AVM","CO","CO","MINISTWO","0",
"K7LED","20240622","211727","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","6A","14.34100","TS","06","SSB","PH","KJ7SDU","100","K7","N","N","WWA","W7AVM","WWA","WA","Shack-Main-Computer--ACER","0",
"NE7WY","20240622","211747","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","3A","21.076842","DEA","06","FT8","DIG","KK7BSG","100","NE7","N","N","WY","W7AVM","WY","WY","AF9W-Field","0",
"K3CCR","20240622","211845","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","05","2E","14.01946","WM","08","CW","CW","NB6M","100","K3","N","N","MDC","W7AVM","MDC","MD","MINISTWO","0",
"WB5LJQ","20240622","211847","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.076842","DEA","07","FT8","DIG","KK7BSG","100","WB5","N","N","LA","W7AVM","LA","LA","AF9W-Field","0",
"K8BSR","20240622","211913","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","8A","21.22200","JP","08","SSB","PH","N7JP","100","K8","N","N","OH","W7AVM","OH","OH","N7JP-DX","0",
"N0KV","20240622","211940","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","04","3A","14.02139","WM","07","CW","CW","NB6M","100","N0","N","N","CO","W7AVM","CO","CO","MINISTWO","0",
"K5PXP","20240622","212021","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","3A","21.076842","DEA","07","FT8","DIG","KK7BSG","100","K5","N","N","AR","W7AVM","AR","AR","AF9W-Field","0",
"K4M","20240622","212226","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","05","4A","14.02277","WM","08","CW","CW","NB6M","100","K4","N","N","AL","W7AVM","AL","AL","MINISTWO","0",
"AB3GY","20240622","212316","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","1E","21.076842","DEA","08","FT8","DIG","KK7BSG","100","AB3","N","N","WPA","W7AVM","WPA","PA","AF9W-Field","0",
"K9LZJ","20240622","212413","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","1D","21.24527","JP","08","SSB","PH","N7JP","100","K9","N","N","IN","W7AVM","IN","IN","N7JP-DX","0",
"KB7BRW","20240622","212443","6M","W7AVM 2024 ARRL-FD","TITAN","ARRL-FD","NA","USA","291","03","1D","","RK","06","SSB","PH","K7MHJ","100","KB7","N","N","WWA","W7AVM","WWA","WA","TITAN","0",
"W8A","20240622","212453","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","4A","21.076633","DEA","08","FT8","DIG","KK7BSG","100","W8","N","N","MI","W7AVM","MI","MI","AF9W-Field","0",
"AA2IL","20240622","212502","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","2E","14.02365","WM","06","CW","CW","NB6M","100","AA2","N","N","SDG","W7AVM","SDG","CA","MINISTWO","0",
"KB6TAZ","20240622","212539","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","1D","14.32495","TS","06","SSB","PH","KJ7SDU","100","KB6","N","N","SB","W7AVM","SB","CA","Shack-Main-Computer--ACER","0",
"W9A","20240622","212548","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","4A","21.26502","JP","08","SSB","PH","N7JP","100","W9","N","N","IN","W7AVM","IN","IN","N7JP-DX","0",
"AD5DJ","20240622","212620","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","1D","21.26502","JP","07","SSB","PH","N7JP","100","AD5","N","N","NTX","W7AVM","NTX","TX","N7JP-DX","0",
"W9PC","20240622","212659","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","1A","21.26502","JP","08","SSB","PH","N7JP","100","W9","N","N","IN","W7AVM","IN","IN","N7JP-DX","0",
"W8MRM","20240622","212740","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","1A","21.26502","JP","08","SSB","PH","N7JP","100","W8","N","N","MI","W7AVM","MI","MI","N7JP-DX","0",
"KC7V","20240622","212741","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","1D","14.02912","WM","06","CW","CW","NB6M","100","KC7","N","N","AZ","W7AVM","AZ","AZ","MINISTWO","0",
"N8PFK","20240622","212918","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.076633","DEA","08","FT8","DIG","KK7BSG","100","N8","N","N","MI","W7AVM","MI","MI","AF9W-Field","0",
"W5ANR","20240622","213117","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","4A","21.076633","DEA","07","FT8","DIG","KK7BSG","100","W5","N","N","AR","W7AVM","AR","AR","AF9W-Field","0",
"K4JJ","20240622","213256","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","05","3A","14.03145","WM","08","CW","CW","NB6M","100","K4","N","N","GA","W7AVM","GA","GA","MINISTWO","0",
"K5COW","20240622","213448","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","5A","21.076307","DEA","07","FT8","DIG","KK7BSG","100","K5","N","N","NTX","W7AVM","NTX","TX","AF9W-Field","0",
"N3QQH","20240622","213451","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","2A","21.41601","JP","08","SSB","PH","N7JP","100","N3","N","N","WPA","W7AVM","WPA","PA","N7JP-DX","0",
"K9M","20240622","213519","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","04","3A","14.03180","WM","08","CW","CW","NB6M","100","K9","N","N","IL","W7AVM","IL","IL","MINISTWO","0",
"W4DW","20240622","213547","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","9A","21.076307","DEA","08","FT8","DIG","KK7BSG","100","W4","N","N","NC","W7AVM","NC","NC","AF9W-Field","0",
"K2WK","20240622","213638","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","05","1D","14.03320","WM","08","CW","CW","NB6M","100","K2","N","N","VA","W7AVM","VA","VA","MINISTWO","0",
"AG5XW","20240622","213719","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.076307","DEA","07","FT8","DIG","KK7BSG","100","AG5","N","N","NTX","W7AVM","NTX","TX","AF9W-Field","0",
"KC9SJJ","20240622","214017","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","2F","21.07693","DEA","08","FT8","DIG","KK7BSG","100","KC9","N","N","IN","W7AVM","IN","IN","AF9W-Field","0",
"KE5VXZ","20240622","214548","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.07693","DEA","07","FT8","DIG","KK7BSG","100","KE5","N","N","NTX","W7AVM","NTX","TX","AF9W-Field","0",
"W6JBT","20240622","214623","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","3A","14.28100","MLH","06","SSB","PH","K7NF0","100","W6","N","N","ORG","W7AVM","ORG","CA","Shack-Main-Computer--ACER","0",
"W1AEC","20240622","214746","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","3D","21.076574","DEA","08","FT8","DIG","KK7BSG","100","W1","N","N","EMA","W7AVM","EMA","MA","AF9W-Field","0",
"W3PIE","20240622","214919","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","4F","21.076487","DEA","08","FT8","DIG","KK7BSG","100","W3","N","N","WPA","W7AVM","WPA","PA","AF9W-Field","0",
"W4JTV","20240622","215003","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","05","5E","14.04099","WM","08","CW","CW","NB6M","100","W4","N","N","WPA","W7AVM","WPA","PA","MINISTWO","0",
"K6WDE","20240622","215111","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","1B","14.25650","MLH","06","SSB","PH","K7NF0","100","K6","N","N","UT","W7AVM","UT","UT","Shack-Main-Computer--ACER","0",
"K9CU","20240622","215118","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","2A","21.41500","JP","08","SSB","PH","N7JP","100","K9","N","N","IL","W7AVM","IL","IL","N7JP-DX","0",
"W1NVT","20240622","215133","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","05","2A","14.04212","WM","08","CW","CW","NB6M","100","W1","N","N","VT","W7AVM","VT","VT","MINISTWO","0",
"K2SHN","20240622","215355","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","1D","21.41500","JP","07","SSB","PH","N7JP","100","K2","N","N","AR","W7AVM","AR","AR","N7JP-DX","0",
"KB5MAR","20240622","215442","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","2F","21.41500","JP","07","SSB","PH","N7JP","100","KB5","N","N","NTX","W7AVM","NTX","TX","N7JP-DX","0",
"W9CQO","20240622","215452","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","4A","21.076589","DEA","08","FT8","DIG","KK7BSG","100","W9","N","N","WI","W7AVM","WI","WI","AF9W-Field","0",
"KB1RZA","20240622","215512","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","1B","21.41500","JP","08","SSB","PH","N7JP","100","KB1","N","N","VT","W7AVM","VT","VT","N7JP-DX","0",
"N6JW","20240622","215513","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","1E","14.25300","MLH","06","SSB","PH","K7NF0","100","N6","N","N","ORG","W7AVM","ORG","CA","Shack-Main-Computer--ACER","0",
"KC3EJC","20240622","215651","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","1B","21.41500","JP","08","SSB","PH","N7JP","100","KC3","N","N","WPA","W7AVM","WPA","PA","N7JP-DX","0",
"N0SS","20240622","215749","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","04","2A","14.04591","WM","07","CW","CW","NB6M","100","N0","N","N","MO","W7AVM","MO","MO","MINISTWO","0",
"WC5EOC","20240622","215807","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","3A","21.41500","JP","07","SSB","PH","N7JP","100","WC5","N","N","STX","W7AVM","STX","TX","N7JP-DX","0",
"N2JAS","20240622","215817","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","1D","21.076589","DEA","08","FT8","DIG","KK7BSG","100","N2","N","N","WPA","W7AVM","WPA","PA","AF9W-Field","0",
"W7AW","20240622","215908","6M","W7AVM 2024 ARRL-FD","TITAN","ARRL-FD","NA","USA","291","03","2A","","BDS","06","SSB","PH","KK7SRI","100","W7","N","N","WWA","W7AVM","WWA","WA","TITAN","0",
"NE9A","20240622","215927","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","2A","21.41500","JP","08","SSB","PH","N7JP","100","NE9","N","N","IL","W7AVM","IL","IL","N7JP-DX","0",
"W7HEN","20240622","215928","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","3A","14.24800","MLH","06","SSB","PH","K7NF0","100","W7","N","N","NV","W7AVM","NV","NV","Shack-Main-Computer--ACER","0",
"K7RL","20240622","215928","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","1D","14.00565","WM","06","CW","CW","NB6M","100","K7","N","N","WWA","W7AVM","WWA","WA","MINISTWO","0",
"KY7M","20240622","220014","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","1B","14.00565","WM","06","CW","CW","NB6M","100","KY7","N","N","CO","W7AVM","CO","CO","MINISTWO","0",
"W2ORC","20240622","220020","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","2F","21.41500","JP","08","SSB","PH","N7JP","100","W2","N","N","WNY","W7AVM","WNY","NY","N7JP-DX","0",
"HL3EFM","20240622","220121","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","AS","Republic of Korea","137","25","1E","21.076589","DEA","44","FT8","DIG","KK7BSG","100","HL3","N","N","WWA","W7AVM","WWA","WA","AF9W-Field","0",
"VE3CJ","20240622","220155","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","Canada","1","04","5A","14.00948","WM","04","CW","CW","NB6M","100","VE3","N","N","GH","W7AVM","GH","ON","MINISTWO","0",
"K4RAN","20240622","220619","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","3A","21.075168","DEA","08","FT8","DIG","KK7BSG","100","K4","N","N","AL","W7AVM","AL","AL","AF9W-Field","0",
"N9EHT","20240622","220750","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.075168","DEA","08","FT8","DIG","KK7BSG","100","N9","N","N","STX","W7AVM","STX","TX","AF9W-Field","0",
"KE8M","20240622","220946","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.075168","DEA","08","FT8","DIG","KK7BSG","100","KE8","N","N","OH","W7AVM","OH","OH","AF9W-Field","0",
"N5KIP","20240622","221216","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.075168","DEA","07","FT8","DIG","KK7BSG","100","N5","N","N","NTX","W7AVM","NTX","TX","AF9W-Field","0",
"N5VDQ","20240622","221415","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","2D","21.075168","DEA","07","FT8","DIG","KK7BSG","100","N5","N","N","NTX","W7AVM","NTX","TX","AF9W-Field","0",
"K4GAR","20240622","221948","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","3A","21.075154","DEA","08","FT8","DIG","KK7BSG","100","K4","N","N","GA","W7AVM","GA","GA","AF9W-Field","0",
"K4R","20240622","222149","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","5A","21.075154","DEA","08","FT8","DIG","KK7BSG","100","K4","N","N","GA","W7AVM","GA","GA","AF9W-Field","0",
"K4RFT","20240622","222447","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","2A","21.075154","DEA","08","FT8","DIG","KK7BSG","100","K4","N","N","TN","W7AVM","TN","TN","AF9W-Field","0",
"WB5AOH","20240622","222921","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1E","21.076106","DEA","07","FT8","DIG","KK7BSG","100","WB5","N","N","STX","W7AVM","STX","TX","AF9W-Field","0",
"VE3RC","20240622","222957","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","Canada","1","04","2A","14.00823","JW","04","CW","CW","K07M","100","VE3","N","N","ONE","W7AVM","ONE","ON","MINISTWO","0",
"KD3G","20240622","223410","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","1D","21.41500","RD","08","SSB","PH","N7JP","100","KD3","N","N","WV","W7AVM","WV","WV","N7JP-DX","0",
"KC4KEZ","20240622","223948","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","1B","21.41500","RD","08","SSB","PH","AI7F","100","KC4","N","N","KY","W7AVM","KY","KY","N7JP-DX","0",
"K5MP","20240622","223310","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","04","1D","14.01866","JW","07","CW","CW","K07M","100","K5","N","N","NTX","W7AVM","NTX","TX","MINISTWO","0",
"W6ZI","20240622","224434","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","6A","14.02135","JW","06","CW","CW","K07M","100","W6","N","N","ORG","W7AVM","ORG","CA","MINISTWO","0",
"WA7NHB","20240622","225113","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","1A","14.01791","JW","06","CW","CW","K07M","100","WA7","N","N","AZ","W7AVM","AZ","AZ","MINISTWO","0",
"W9FEZ","20240622","225249","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","2A","21.076798","DEA","08","FT8","DIG","KK7BSG","100","W9","N","N","IN","W7AVM","IN","IN","AF9W-Field","0",
"W0PIR","20240622","225327","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","04","1A","14.01513","JW","07","CW","CW","K07M","100","W0","N","N","OH","W7AVM","OH","OH","MINISTWO","0",
"KB9ZM","20240622","225747","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.076673","DEA","08","FT8","DIG","KK7BSG","100","KB9","N","N","IL","W7AVM","IL","IL","AF9W-Field","0",
"K7NK","20240622","230118","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","1D","21.074868","DEA","06","FT8","DIG","KK7BSG","100","K7","N","N","WWA","W7AVM","WWA","WA","AF9W-Field","0",
"W8GMM","20240622","230217","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","3D","21.074868","DEA","08","FT8","DIG","KK7BSG","100","W8","N","N","OH","W7AVM","OH","OH","AF9W-Field","0",
"W7RCH","20240622","230848","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","1F","21.074784","DEA","06","FT8","DIG","KK7BSG","100","W7","N","N","UT","W7AVM","UT","UT","AF9W-Field","0",
"KD7LEE","20240622","231146","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","1E","21.074784","DEA","06","FT8","DIG","KK7BSG","100","KD7","N","N","WWA","W7AVM","WWA","WA","AF9W-Field","0",
"KI7DAN","20240622","231426","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","1D","21.076585","DEA","06","FT8","DIG","KK7BSG","100","KI7","N","N","UT","W7AVM","UT","UT","AF9W-Field","0",
"AH6X","20240622","231549","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","1B","21.076585","DEA","06","FT8","DIG","KK7BSG","100","AH6","N","N","ID","W7AVM","ID","ID","AF9W-Field","0",
"WA4USN","20240622","231846","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","05","2A","14.02357","WM","08","CW","CW","NB6M","100","WA4","N","N","SC","W7AVM","SC","SC","MINISTWO","0",
"W2LI","20240622","232219","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","3A","21.074835","DEA","08","FT8","DIG","KK7BSG","100","W2","N","N","NNJ","W7AVM","NNJ","NJ","AF9W-Field","0",
"K7LED","20240622","232848","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","6A","21.076867","DEA","06","FT8","DIG","KK7BSG","100","K7","N","N","WWA","W7AVM","WWA","WA","AF9W-Field","0",
"K8NSR","20240622","232958","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","04","8A","14.15895","CWK","08","SSB","PH","N7KN","100","K8","N","N","OH","W7AVM","OH","OH","MINISTWO","0",
"W5W","20240622","233418","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","5A","21.076867","DEA","07","FT8","DIG","KK7BSG","100","W5","N","N","NTX","W7AVM","NTX","TX","AF9W-Field","0",
"W5EA","20240622","233421","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","04","2D","14.16610","CWK","07","SSB","PH","N7KN","100","W5","N","N","LA","W7AVM","LA","LA","MINISTWO","0",
"W1NVT","20240622","233519","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","05","2A","14.17755","CWK","08","SSB","PH","N7KN","100","W1","N","N","VT","W7AVM","VT","VT","MINISTWO","0",
"K0VK","20240622","233703","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","04","1B","14.18790","JMM","07","SSB","PH","KK7BSD","100","K0","N","N","CO","W7AVM","CO","CO","Shack-Main-Computer--ACER","0",
"VA4PAR","20240622","234203","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","Canada","1","04","1A","14.24600","CWK","03","SSB","PH","N7KN","100","VA4","N","N","MB","W7AVM","MB","MB","MINISTWO","0",
"N7A","20240622","234418","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","1F","21.074842","DEA","06","FT8","DIG","KK7BSG","100","N7","N","N","NV","W7AVM","NV","NV","AF9W-Field","0",
"VE3IC","20240622","234549","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","Canada","1","04","6A","14.26205","CWK","04","SSB","PH","N7KN","100","VE3","N","N","ONS","W7AVM","ONS","ON","MINISTWO","0",
"W7CEJ","20240622","234747","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","1E","21.076834","DEA","06","FT8","DIG","KK7BSG","100","W7","N","N","UT","W7AVM","UT","UT","AF9W-Field","0",
"KC5DI","20240622","234937","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","04","1D","14.28090","CWK","07","SSB","PH","N7KN","100","KC5","N","N","LA","W7AVM","LA","LA","MINISTWO","0",
"K0AJW","20240622","235022","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","04","1A","14.28850","CWK","07","SSB","PH","N7KN","100","K0","N","N","ND","W7AVM","ND","ND","MINISTWO","0",
"K5RGV","20240622","235104","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","4A","21.43500","RK","07","SSB","PH","K7MHJ","100","K5","N","N","STX","W7AVM","STX","TX","N7JP-DX","0",
"N6MI","20240622","235152","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","2A","14.18225","JMM","06","SSB","PH","KK7BSD","100","N6","N","N","SJV","W7AVM","SJV","CA","Shack-Main-Computer--ACER","0",
"W2XRX","20240622","235235","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","3A","21.074652","DEA","08","FT8","DIG","KK7BSG","100","W2","N","N","WNY","W7AVM","WNY","NY","AF9W-Field","0",
"K8NQW","20240622","235332","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","2A","21.074652","DEA","08","FT8","DIG","KK7BSG","100","K8","N","N","OH","W7AVM","OH","OH","AF9W-Field","0",
"K8GQB","20240622","235340","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","2A","21.38850","RK","08","SSB","PH","K7MHJ","100","K8","N","N","OH","W7AVM","OH","OH","N7JP-DX","0",
"W1PU","20240622","235401","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","05","2A","14.32795","CWK","08","SSB","PH","N7KN","100","W1","N","N","VT","W7AVM","VT","VT","MINISTWO","0",
"W5NC","20240622","235521","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","3F","21.074652","DEA","07","FT8","DIG","KK7BSG","100","W5","N","N","STX","W7AVM","STX","TX","AF9W-Field","0",
"WY7HR","20240622","235548","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","6A","14.34595","CWK","06","SSB","PH","N7KN","100","WY7","N","N","WY","W7AVM","WY","WY","MINISTWO","0",
"VE3YET","20240623","000007","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","Canada","1","04","1D","21.075783","DEA","04","FT8","DIG","KK7BSG","100","VE3","N","N","ONS","W7AVM","ONS","ON","AF9W-Field","0",
"N8SL","20240623","000130","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","4A","21.074813","DEA","08","FT8","DIG","KK7BSG","100","N8","N","N","MI","W7AVM","MI","MI","AF9W-Field","0",
"W4NC","20240623","000232","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","9A","21.074813","DEA","08","FT8","DIG","KK7BSG","100","W4","N","N","NC","W7AVM","NC","NC","AF9W-Field","0",
